adaptiveThreshWinSizeMin,adaptiveThreshWinSizeMax,adaptiveThreshWinSizeStep,foundA,foundB,Total Found,Thresh,Cam A Imgs,Cam B Imgs
3,3,3,91,82,173,3,105,105
4,4,4,71,67,138,4,105,105
5,5,5,71,67,138,5,105,105
6,6,6,37,36,73,6,105,105
7,7,7,37,36,73,7,105,105
8,8,8,30,30,60,8,105,105
9,9,9,30,30,60,9,105,105
10,10,10,25,22,47,10,105,105
11,11,11,25,22,47,11,105,105
12,12,12,16,17,33,12,105,105
13,13,13,16,17,33,13,105,105
14,14,14,12,10,22,14,105,105
15,15,15,12,10,22,15,105,105
16,16,16,7,6,13,16,105,105
17,17,17,7,6,13,17,105,105
18,18,18,6,5,11,18,105,105
19,19,19,6,5,11,19,105,105
20,20,20,4,6,10,20,105,105
21,21,21,4,6,10,21,105,105
22,22,22,4,3,7,22,105,105
23,23,23,4,3,7,23,105,105
24,24,24,3,2,5,24,105,105
25,25,25,3,2,5,25,105,105
26,26,26,1,2,3,26,105,105
27,27,27,1,2,3,27,105,105
28,28,28,1,2,3,28,105,105
29,29,29,1,2,3,29,105,105
